country	iso	f1980	f1996	f2006	f2012	m1980	m1996	m2006	m2012
Paraguay	PRY	8.5	8.0	6.1	5.3	27.7	25.5	21.2	19.2
Palestine	PSE	4.1	3.9	3.0	3.1	52.9	53.6	46.1	41.3
Qatar	QAT	1.5	1.5	1.4	1.4	19.0	19.6	19.4	19.3
Romania	ROU	18.4	18.6	18.6	18.7	35.5	42.8	35.0	36.4
Russia	RUS	16.9	15.4	16.3	16.9	57.8	55.1	48.8	51.0
Rwanda	RWA	9.0	10.1	4.8	2.6	25.4	25.6	21.0	16.3
Saudi Arabia	SAU	0.8	1.0	1.8	2.2	12.7	20.0	21.2	22.1
Sudan	SDN	1.0	1.0	1.0	1.0	8.2	8.2	8.2	8.2
Senegal	SEN	2.0	2.0	1.4	1.2	20.9	20.7	16.5	14.5
Singapore	SGP	4.3	3.5	4.2	4.3	29.7	25.4	22.5	22.5
Solomon Islands	SLB	16.2	15.8	15.6	15.4	41.3	40.3	39.0	38.4
Sierra Leone	SLE	6.3	6.2	6.1	6.3	32.5	31.6	31.2	30.7
El Salvador	SLV	3.2	3.1	2.5	2.5	20.1	19.0	18.1	18.1
Somalia	SOM	3.3	3.1	2.4	2.3	21.9	21.4	20.0	19.8
Serbia	SRB	20.2	24.1	24.2	22.8	25.3	34.2	35.7	31.9
Sao Tome and Principe	STP	1.3	1.3	1.3	1.2	7.2	6.9	6.9	7.0
Suriname	SUR	2.3	2.4	2.3	2.3	10.0	10.4	10.1	9.8
Slovakia	SVK	15.8	15.3	15.9	15.5	34.9	35.4	31.2	30.4
Slovenia	SVN	25.2	22.0	20.0	21.3	37.5	30.0	25.0	26.5
Sweden	SWE	28.7	24.8	15.1	14.8	30.3	19.7	11.1	12.3
Swaziland	SWZ	2.9	3.1	2.5	2.7	12.3	12.2	13.6	14.7
Seychelles	SYC	4.5	4.1	3.8	3.7	33.6	28.9	27.5	26.6
Syria	SYR	7.1	6.4	6.4	6.3	32.3	28.9	28.7	28.4
Chad	TCD	2.5	2.4	2.3	2.3	14.2	14.2	14.2	14.2
Togo	TGO	1.8	1.6	1.6	1.5	15.2	14.2	13.8	13.8
Thailand	THA	5.0	4.1	2.2	2.2	49.2	47.4	37.0	37.2
Tajikistan	TJK	3.5	3.3	2.6	2.6	36.9	36.0	30.7	30.0
Turkmenistan	TKM	3.8	3.7	3.4	3.1	40.4	41.1	40.9	36.8
Timor-Leste	TLS	4.5	4.6	4.4	4.3	60.8	61.3	60.5	61.1
Tonga	TON	13.9	14.6	26.0	24.5	53.4	49.8	48.0	46.4
Trinidad and Tobago	TTO	8.9	7.8	7.1	7.1	36.7	29.9	27.2	27.3
Tunisia	TUN	2.0	1.9	3.6	4.5	41.3	43.6	45.9	44.8
Turkey	TUR	13.5	13.8	15.6	13.6	42.6	43.1	44.4	39.0
Taiwan	TWN	3.8	3.8	3.6	3.4	38.8	41.9	33.5	31.0
Tanzania	TZA	2.4	2.5	1.8	1.5	24.5	24.5	22.2	19.9
Uganda	UGA	3.8	4.2	2.3	2.0	24.4	26.0	20.5	17.3
Ukraine	UKR	15.0	13.8	15.0	11.7	54.9	52.6	51.9	46.3
Uruguay	URY	23.7	24.4	22.5	20.4	38.7	38.3	29.4	27.2
United States	USA	28.3	20.1	16.4	14.3	33.2	23.1	19.7	17.2
Uzbekistan	UZB	1.3	1.3	1.6	1.6	21.1	22.4	20.5	21.6
Saint Vincent and the Grenadines	VCT	2.6	2.4	2.2	2.2	19.3	17.1	15.9	15.7
Venezuela	VEN	16.7	12.7	11.6	11.7	38.9	25.9	22.4	21.7
Vietnam	VNM	4.1	4.4	1.7	1.5	56.1	58.2	42.7	40.9
Vanuatu	VUT	5.4	5.2	3.5	3.1	40.5	39.3	32.9	28.6
Samoa	WSM	16.7	16.1	14.0	13.3	45.7	43.6	35.7	33.5
Yemen	YEM	10.9	11.3	6.3	6.7	34.9	33.0	25.2	26.1
South Africa	ZAF	10.4	9.6	8.5	9.1	40.4	38.5	23.1	22.0
Zambia	ZMB	4.4	4.5	3.3	3.3	24.9	23.7	23.1	24.0
Zimbabwe	ZWE	4.1	3.7	3.1	2.7	27.5	24.2	25.0	24.7
