File: IHME_GBD_2015_SMOKING_PREVALENCE_1990_2015_ANNUALIZED_RATE_OF_CHANGE_Y2017M04D05.CSV,,,,,,,,,,,,,,,,
Variable:,location_id,location_name,sex_id,sex_label,age_group_id,age_group_name,measure,mean_1990_2015,lower_1990_2015,upper_1990_2015,mean_1990_2005,lower_1990_2005,upper_1990_2005,mean_2005_2015,lower_2005_2015,upper_2005_2015
Label:,Location ID,Location name,Sex ID,Sex,Age group ID,Age group name,measure,Annualized rate of change 1990-2015: mean,Annualized rate of change 1990-2015: 95% uncertainty interval - lower bound,Annualized rate of change 1990-2015: 95% uncertainty interval - upper bound,Annualized rate of change 1990-2005: mean,Annualized rate of change 1990-2005: 95% uncertainty interval - lower bound,Annualized rate of change 1990-2005: 95% uncertainty interval - upper bound,Annualized rate of change 2005-2015: mean,Annualized rate of change 2005-2015: 95% uncertainty interval - lower bound,Annualized rate of change 2005-2015: 95% uncertainty interval - upper bound
,199,Western Sub-Saharan Africa,,,,,,,,,,,,,,
,200,Benin,,,,,,,,,,,,,,
,201,Burkina Faso,,,,,,,,,,,,,,
,202,Cameroon,,,,,,,,,,,,,,
,203,Cape Verde,,,,,,,,,,,,,,
,204,Chad,,,,,,,,,,,,,,
,205,Cote d'Ivoire,,,,,,,,,,,,,,
,206,The Gambia,,,,,,,,,,,,,,
,207,Ghana,,,,,,,,,,,,,,
,208,Guinea,,,,,,,,,,,,,,
,209,Guinea-Bissau,,,,,,,,,,,,,,
,210,Liberia,,,,,,,,,,,,,,
,211,Mali,,,,,,,,,,,,,,
,212,Mauritania,,,,,,,,,,,,,,
,213,Niger,,,,,,,,,,,,,,
,214,Nigeria,,,,,,,,,,,,,,
,215,Sao Tome and Principe,,,,,,,,,,,,,,
,216,Senegal,,,,,,,,,,,,,,
,217,Sierra Leone,,,,,,,,,,,,,,
,218,Togo,,,,,,,,,,,,,,
,298,American Samoa,,,,,,,,,,,,,,
,305,Bermuda,,,,,,,,,,,,,,
,349,Greenland,,,,,,,,,,,,,,
,351,Guam,,,,,,,,,,,,,,
,376,Northern Mariana Islands,,,,,,,,,,,,,,
,385,Puerto Rico,,,,,,,,,,,,,,
,422,"Virgin Islands, U.S.",,,,,,,,,,,,,,
,435,South Sudan,,,,,,,,,,,,,,
,522,Sudan,,,,,,,,,,,,,,
,44634,High-middle SDI,,,,,,,,,,,,,,
,44635,High SDI,,,,,,,,,,,,,,
,44636,Low-middle SDI,,,,,,,,,,,,,,
,44637,Low SDI,,,,,,,,,,,,,,
,44639,Middle SDI,,,,,,,,,,,,,,
