location_id,location_name,sex_id,sex,age_group_id,age_group_name,measure,mean_1990_2015,lower_1990_2015,upper_1990_2015,mean_1990_2005,lower_1990_2005,upper_1990_2005,mean_2005_2015,lower_2005_2015,upper_2005_2015
22,Fiji,3,Both,27,Age-standardized,Daily smoking prevalence,-0.004085596,-0.01093332,0.003272221,-0.004245744,-0.015300991,0.007186312,-0.003845374,-0.019059749,0.010067162
23,Kiribati,1,Male,27,Age-standardized,Daily smoking prevalence,-0.002741664,-0.007417747,0.001809617,0.001081134,-0.005229104,0.007565229,-0.008475862,-0.018162755,0.001012703
23,Kiribati,2,Female,27,Age-standardized,Daily smoking prevalence,-0.006342079,-0.014332086,0.001127384,0.001396743,-0.008795386,0.01209929,-0.017950313,-0.034323405,-0.002377015
23,Kiribati,3,Both,27,Age-standardized,Daily smoking prevalence,-0.004064708,-0.008116489,5.39E-05,0.001140038,-0.004376975,0.006637141,-0.011871828,-0.020040184,-0.003970847
24,Marshall Islands,1,Male,27,Age-standardized,Daily smoking prevalence,-0.007150919,-0.015747208,0.000844351,-0.006262849,-0.017878922,0.0056478,-0.008483023,-0.025433145,0.00642134
24,Marshall Islands,2,Female,27,Age-standardized,Daily smoking prevalence,-0.004998925,-0.018262584,0.009257754,-0.006553046,-0.026276564,0.012213651,-0.002667743,-0.027617985,0.024425499
24,Marshall Islands,3,Both,27,Age-standardized,Daily smoking prevalence,-0.007040265,-0.014022627,0.000352165,-0.006642328,-0.016920833,0.003651925,-0.007637172,-0.022474213,0.005625781
25,Federated States of Micronesia,1,Male,27,Age-standardized,Daily smoking prevalence,-0.004985309,-0.013477828,0.003455733,-0.005381023,-0.017830813,0.008422992,-0.004391738,-0.022020428,0.014309785
25,Federated States of Micronesia,2,Female,27,Age-standardized,Daily smoking prevalence,-0.002132223,-0.015107304,0.011463253,-0.002408267,-0.020777715,0.016613197,-0.001718157,-0.029008098,0.02561811
25,Federated States of Micronesia,3,Both,27,Age-standardized,Daily smoking prevalence,-0.004241658,-0.011409172,0.002989394,-0.004885291,-0.015819082,0.006486804,-0.003276209,-0.017239301,0.012943459
26,Papua New Guinea,1,Male,27,Age-standardized,Daily smoking prevalence,-0.004654943,-0.010452079,0.001159052,0.0005173,-0.007009807,0.008565837,-0.012413306,-0.024430949,-0.001062738
26,Papua New Guinea,2,Female,27,Age-standardized,Daily smoking prevalence,-0.00162424,-0.011763308,0.008905796,0.0118318,-0.002035305,0.026401393,-0.0218083,-0.042140085,-0.002023665
26,Papua New Guinea,3,Both,27,Age-standardized,Daily smoking prevalence,-0.003936083,-0.009166716,0.001146921,0.003504069,-0.00317645,0.010755364,-0.015096311,-0.02575242,-0.005420552
27,Samoa,1,Male,27,Age-standardized,Daily smoking prevalence,-0.010025545,-0.015938925,-0.004368167,-0.010597464,-0.018121518,-0.003136538,-0.009167667,-0.021907333,0.002579473
27,Samoa,2,Female,27,Age-standardized,Daily smoking prevalence,-0.006038741,-0.017489143,0.005369178,-0.004671361,-0.0212362,0.012104381,-0.008089811,-0.030724291,0.014302628
27,Samoa,3,Both,27,Age-standardized,Daily smoking prevalence,-0.009246772,-0.014272888,-0.003741999,-0.009331654,-0.016028211,-0.002201795,-0.009119451,-0.020435462,0.00077259
28,Solomon Islands,1,Male,27,Age-standardized,Daily smoking prevalence,-0.003527834,-0.010546092,0.003776268,-0.002078088,-0.012642349,0.008581593,-0.005702452,-0.020473011,0.008172529
28,Solomon Islands,2,Female,27,Age-standardized,Daily smoking prevalence,-0.005069461,-0.017378885,0.006378881,-0.001973969,-0.019024055,0.015979921,-0.009712699,-0.033278801,0.014131376
28,Solomon Islands,3,Both,27,Age-standardized,Daily smoking prevalence,-0.004216221,-0.010434352,0.002444601,-0.002355139,-0.010969015,0.006367768,-0.007007843,-0.020720478,0.004896153
29,Tonga,1,Male,27,Age-standardized,Daily smoking prevalence,0.000520821,-0.004341255,0.005507147,0.002251792,-0.003659785,0.008525233,-0.002075636,-0.011925315,0.007715159
29,Tonga,2,Female,27,Age-standardized,Daily smoking prevalence,-0.012018576,-0.021545628,-0.002823718,-0.02090558,-0.034671068,-0.009081714,0.00131193,-0.017344089,0.019955479
29,Tonga,3,Both,27,Age-standardized,Daily smoking prevalence,-0.002839683,-0.00737577,0.001283292,-0.003981128,-0.00951928,0.001576707,-0.001127515,-0.009978849,0.00679284
30,Vanuatu,1,Male,27,Age-standardized,Daily smoking prevalence,-0.007144766,-0.013200231,-0.000611854,-0.021093994,-0.031575415,-0.01055312,0.013779075,-0.000362685,0.02868069
30,Vanuatu,2,Female,27,Age-standardized,Daily smoking prevalence,-0.018372083,-0.030213442,-0.004768434,-0.029288745,-0.04803529,-0.009903333,-0.001997093,-0.030097689,0.02491302
30,Vanuatu,3,Both,27,Age-standardized,Daily smoking prevalence,-0.008843156,-0.014375279,-0.002772634,-0.022324175,-0.032236855,-0.012242134,0.011378374,-0.002019342,0.025490791
31,"Central Europe, Eastern Europe, and Central Asia",1,Male,27,Age-standardized,Daily smoking prevalence,-0.007118064,-0.008506318,-0.005790217,-0.002947441,-0.004746513,-0.001122546,-0.013373999,-0.016476218,-0.010436024
31,"Central Europe, Eastern Europe, and Central Asia",2,Female,27,Age-standardized,Daily smoking prevalence,0.00246981,-0.000870666,0.005819704,0.009082235,0.004749679,0.013261069,-0.007448829,-0.014677502,0.000367566
31,"Central Europe, Eastern Europe, and Central Asia",3,Both,27,Age-standardized,Daily smoking prevalence,-0.004697676,-0.006091164,-0.00330484,0.000133872,-0.001588798,0.00195107,-0.011944999,-0.015160532,-0.008608713
32,Central Asia,1,Male,27,Age-standardized,Daily smoking prevalence,-0.0048526,-0.007148624,-0.002423869,-0.004296656,-0.008166242,-0.000249009,-0.005686515,-0.010758763,-0.00067139
32,Central Asia,2,Female,27,Age-standardized,Daily smoking prevalence,0.007722851,-5.44E-05,0.015510504,0.01431465,0.001867439,0.026909688,-0.002164848,-0.018318683,0.014776295
32,Central Asia,3,Both,27,Age-standardized,Daily smoking prevalence,-0.0036203,-0.005896182,-0.001285012,-0.002474963,-0.006054866,0.001434129,-0.005338305,-0.010092173,-0.000546851
33,Armenia,1,Male,27,Age-standardized,Daily smoking prevalence,0.000393571,-0.004267889,0.005278524,0.005547967,-0.001400725,0.012611015,-0.007338023,-0.016621284,0.001451912
33,Armenia,2,Female,27,Age-standardized,Daily smoking prevalence,0.003493503,-0.015081351,0.022224184,0.010962823,-0.016551953,0.03969492,-0.007710477,-0.045318943,0.03069658
33,Armenia,3,Both,27,Age-standardized,Daily smoking prevalence,-0.00132307,-0.005762092,0.003429033,0.005984411,-0.000827886,0.01273069,-0.012284291,-0.021292003,-0.003662756
34,Azerbaijan,1,Male,27,Age-standardized,Daily smoking prevalence,0.008578868,0.002807527,0.014636856,0.005705504,-0.003370038,0.014891448,0.012888913,0.000585346,0.023912398
34,Azerbaijan,2,Female,27,Age-standardized,Daily smoking prevalence,0.010742994,-0.007489515,0.027376227,0.009028299,-0.019526722,0.037012704,0.013315036,-0.026910907,0.052482348
34,Azerbaijan,3,Both,27,Age-standardized,Daily smoking prevalence,0.009282002,0.003896043,0.014906852,0.006274859,-0.002246924,0.014991017,0.013792716,0.00227113,0.024139015
35,Georgia,1,Male,27,Age-standardized,Daily smoking prevalence,0.004517054,-0.000789553,0.010152173,0.008258249,-0.000140147,0.016216526,-0.001094739,-0.012116536,0.009529509
